Date,Narrative,Currency, Debit,Credit,Running Balance
26/05/2026,/                   Pmt 000319253817 AUTOMATIC DRAWING,AUD,-32025.26,,0.00
26/05/2026,/                   Pmt 000319236274 AUTOMATIC DRAWING,AUD,-16776.02,,32025.26
26/05/2026,/                   Pmt 000319278806 AUTOMATIC DRAWING,AUD,-389991.92,,48801.28
26/05/2026,ONLINE  L3679348564 TIMMS-INV18277-C1   SIGNATURE MU TRANSFER DEBIT,AUD,-21905.5,,438793.20
26/05/2026,ONLINE  F4520338626 Linked Acc Trns     SIGNATURE MU TRANSFER CREDIT,AUD,,389991.92,460698.70
26/05/2026,ONLINE  E1133312666 Linked Acc Trns     SIGNATURE MU TRANSFER CREDIT,AUD,,48801.28,70706.78
26/05/2026,ONLINE  Y5078652064 SIG to ALBA PTA     SIGNATURE MU TRANSFER CREDIT,AUD,,21905.5,21905.50
15/05/2026,PLEASE NOTE FROM TODAY YOUR DR INTEREST RATE IS 15.410% MISCELLANEOUS CREDIT,AUD,,,0.00
13/05/2026,/ Pmt 000318197194 SIGNATURE MU AUTOMATIC DRAWING,AUD,-130686.93,,0.00
13/05/2026,NABCONNECT 318223501 TRANSFER CREDIT,AUD,,130686.93,130686.93
